system:time_start,temperature_2m
"Jan 1, 2019","276,906,088,389.893"
"Feb 1, 2019","279,796,538,697.946"
"Mar 1, 2019","281,566,206,265.521"
"Apr 1, 2019","282,569,022,285.729"
"May 1, 2019","285,346,521,176.79"
"Jun 1, 2019","288,613,963,722.764"
"Jul 1, 2019","291,936,938,786.142"
"Aug 1, 2019","291,202,359,160.485"
"Sep 1, 2019","288,529,537,300.199"
"Oct 1, 2019","284,422,370,746.212"
"Nov 1, 2019","280,133,560,631.661"
"Dec 1, 2019","279,566,192,751.447"
"Jan 1, 2020","279,790,400,620.385"
"Feb 1, 2020","280,186,437,706.429"
"Mar 1, 2020","279,908,337,245.323"
"Apr 1, 2020","284,031,006,096.213"
"May 1, 2020","286,926,137,752.206"
"Jun 1, 2020","289,309,216,377.005"
"Jul 1, 2020","290,257,718,201.921"
"Aug 1, 2020","292,146,720,315.213"
"Sep 1, 2020","288,316,346,660.041"
"Oct 1, 2020","284,355,062,338.299"
"Nov 1, 2020","282,405,077,934.265"
"Dec 1, 2020","278,844,820,218.319"
"Jan 1, 2021","276,860,596,234.203"
"Feb 1, 2021","278,517,161,584.837"
"Mar 1, 2021","280,161,148,092.518"
"Apr 1, 2021","279,842,938,785.665"
"May 1, 2021","283,941,116,831.344"
"Jun 1, 2021","289,854,557,349.296"
"Jul 1, 2021","291,160,943,000.188"
"Aug 1, 2021","289,513,109,984.701"
"Sep 1, 2021","289,601,640,413.89"
"Oct 1, 2021","285,760,041,697.973"
"Nov 1, 2021","280,802,866,141.931"
"Dec 1, 2021","280,357,532,526.407"
"Jan 1, 2022","277,894,803,616.218"
"Feb 1, 2022","280,574,258,324.696"
"Mar 1, 2022","281,169,332,960.511"
"Apr 1, 2022","282,700,345,762.152"
"May 1, 2022","286,789,094,830.657"
"Jun 1, 2022","289,097,038,505.881"
"Jul 1, 2022","293,008,217,229.593"
"Aug 1, 2022","293,283,709,668.726"
"Sep 1, 2022","288,186,462,660.003"
"Oct 1, 2022","286,841,393,616.307"
"Nov 1, 2022","283,116,215,743.424"
"Dec 1, 2022","277,788,727,566.558"
"Jan 1, 2023","278,275,316,947.228"
"Feb 1, 2023","279,187,985,984.703"
"Mar 1, 2023","280,472,197,639.337"
"Apr 1, 2023","281,913,220,768.086"
"May 1, 2023","285,726,362,847.985"
"Jun 1, 2023","291,021,188,250.387"
"Jul 1, 2023","290,328,140,709.63"
"Aug 1, 2023","290,214,134,343.321"
"Sep 1, 2023","291,227,954,565.572"
"Oct 1, 2023","286,359,038,256.717"
"Nov 1, 2023","281,079,593,699.717"
"Dec 1, 2023","280,915,864,782.544"
"Jan 1, 2024","278,054,125,025.371"
"Feb 1, 2024","281,352,255,047.173"
"Mar 1, 2024","281,572,912,269.079"
"Apr 1, 2024","283,009,032,207.809"
"May 1, 2024","286,944,462,641.795"
"Jun 1, 2024","288,513,775,435.479"
"Jul 1, 2024","290,497,445,334.805"
"Aug 1, 2024","291,540,213,111.931"
"Sep 1, 2024","288,080,446,089.732"
"Oct 1, 2024","285,343,926,347.892"
"Nov 1, 2024","281,219,419,183.415"
